最速下降法:
第1次迭代：f(x_i)=7.711096853704860e-01, x_1=1.612607637710941e-01,x_2=0.000000000000000e+00
第2次迭代：f(x_i)=7.034831573556209e-01, x_1=1.612609729002579e-01,x_2=2.600931492908078e-02
第3次迭代：f(x_i)=6.568803061744033e-01, x_1=2.112585444453027e-01,x_2=2.598420186646620e-02
第4次迭代：f(x_i)=6.220986086800188e-01, x_1=2.112677210649642e-01,x_2=4.463695850941964e-02
第5次迭代：f(x_i)=5.937424732560347e-01, x_1=2.449923040060409e-01,x_2=4.462452410005387e-02
第6次迭代：f(x_i)=5.700276663372987e-01, x_1=2.449982346976276e-01,x_2=6.002683241118725e-02
第7次迭代：f(x_i)=5.494598878028710e-01, x_1=2.710286435046609e-01,x_2=6.001753411541338e-02
第8次迭代：f(x_i)=5.313919316985924e-01, x_1=2.710336556287709e-01,x_2=7.346141650990967e-02
第9次迭代：f(x_i)=5.152002212577087e-01, x_1=2.924796589248485e-01,x_2=7.345502161365335e-02
第10次迭代：f(x_i)=5.005801674931137e-01, x_1=2.924830977829553e-01,x_2=8.554875060635846e-02
第11次迭代：f(x_i)=4.872158186049268e-01, x_1=3.108403046757916e-01,x_2=8.554255562849093e-02
第12次迭代：f(x_i)=4.749356935948619e-01, x_1=3.108442169299478e-01,x_2=9.662572708975364e-02
第13次迭代：f(x_i)=4.635524343782056e-01, x_1=3.269721348916146e-01,x_2=9.662198349689699e-02
第14次迭代：f(x_i)=4.529638401226078e-01, x_1=3.269741163173839e-01,x_2=1.069124707558987e-01
第15次迭代：f(x_i)=4.430514360243456e-01, x_1=3.414029663382538e-01,x_2=1.069116174948839e-01
第16次迭代：f(x_i)=4.337490796980238e-01, x_1=3.414037051571799e-01,x_2=1.165575730983419e-01
第17次迭代：f(x_i)=4.249782487927529e-01, x_1=3.544826544907498e-01,x_2=1.165554222253035e-01
第18次迭代：f(x_i)=4.166903250265078e-01, x_1=3.544844505276455e-01,x_2=1.256612650577147e-01
第19次迭代：f(x_i)=4.088300275951325e-01, x_1=3.664654171698924e-01,x_2=1.256574807315502e-01
第20次迭代：f(x_i)=4.013619511487262e-01, x_1=3.664686670025003e-01,x_2=1.343028323273195e-01
第21次迭代：f(x_i)=3.942459108856206e-01, x_1=3.775366199900764e-01,x_2=1.342966356692453e-01
第22次迭代：f(x_i)=3.874545600643671e-01, x_1=3.775415197121073e-01,x_2=1.425395537269485e-01
第23次迭代：f(x_i)=3.809548913358970e-01, x_1=3.878449307092685e-01,x_2=1.425363190560226e-01
第24次迭代：f(x_i)=3.747296680454852e-01, x_1=3.878483298445777e-01,x_2=1.504291043940464e-01
第25次迭代：f(x_i)=3.687541943541311e-01, x_1=3.974913469827209e-01,x_2=1.504247307409970e-01
第26次迭代：f(x_i)=3.630126034524647e-01, x_1=3.974947279719072e-01,x_2=1.580045703757805e-01
第27次迭代：f(x_i)=3.574857931799669e-01, x_1=4.065639117661539e-01,x_2=1.580007910379969e-01
第28次迭代：f(x_i)=3.521617883459927e-01, x_1=4.065677898844433e-01,x_2=1.652992207649361e-01
第29次迭代：f(x_i)=3.470239629876544e-01, x_1=4.151368924774955e-01,x_2=1.652965457399113e-01
第30次迭代：f(x_i)=3.420627890671064e-01, x_1=4.151386583583822e-01,x_2=1.723412023553199e-01
第31次迭代：f(x_i)=3.372657489612735e-01, x_1=4.232625302262324e-01,x_2=1.723396792599246e-01
第32次迭代：f(x_i)=3.326246351189136e-01, x_1=4.232638082071428e-01,x_2=1.791536484284295e-01
第33次迭代：f(x_i)=3.281291758785321e-01, x_1=4.309875267835419e-01,x_2=1.791517778121886e-01
